"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	"2010"	"2010"	11	26569	Unreliable	Unreliable
	"Autauga County, AL"	"01001"	"2013"	"2013"	11	26796	Unreliable	Unreliable
	"Autauga County, AL"	"01001"	"2016"	"2016"	11	26994	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	"1999"	"1999"	22	67416	32.6	33.1
	"Baldwin County, AL"	"01003"	"2000"	"2000"	18	68848	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	"2001"	"2001"	18	70911	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	"2002"	"2002"	17	72399	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	"2003"	"2003"	19	74202	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	"2004"	"2004"	15	76547	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	"2005"	"2005"	13	79416	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	"2006"	"2006"	27	82192	32.8	30.1
	"Baldwin County, AL"	"01003"	"2007"	"2007"	19	84173	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	"2008"	"2008"	24	85797	28.0	28.6
	"Baldwin County, AL"	"01003"	"2009"	"2009"	31	87701	35.3	32.8
	"Baldwin County, AL"	"01003"	"2010"	"2010"	23	89196	25.8	24.6
	"Baldwin County, AL"	"01003"	"2011"	"2011"	29	91208	31.8	28.9
	"Baldwin County, AL"	"01003"	"2012"	"2012"	35	93035	37.6	35.5
	"Baldwin County, AL"	"01003"	"2013"	"2013"	27	95487	28.3	29.4
	"Baldwin County, AL"	"01003"	"2014"	"2014"	27	97597	27.7	26.6
	"Baldwin County, AL"	"01003"	"2015"	"2015"	34	99286	34.2	34.4
	"Baldwin County, AL"	"01003"	"2016"	"2016"	31	101241	30.6	30.8
	"Blount County, AL"	"01009"	"2007"	"2007"	12	27941	Unreliable	Unreliable
	"Blount County, AL"	"01009"	"2009"	"2009"	10	28395	Unreliable	Unreliable
	"Blount County, AL"	"01009"	"2010"	"2010"	11	28362	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"1999"	"1999"	16	55045	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2000"	"2000"	13	53702	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2001"	"2001"	15	53291	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2002"	"2002"	10	53526	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2003"	"2003"	13	54137	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2004"	"2004"	18	54575	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2005"	"2005"	13	55055	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2006"	"2006"	19	55518	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2007"	"2007"	15	55911	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2008"	"2008"	11	56462	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2009"	"2009"	17	57079	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2010"	"2010"	11	57176	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2011"	"2011"	15	56688	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2012"	"2012"	21	56483	37.2	38.3
	"Calhoun County, AL"	"01015"	"2013"	"2013"	17	56400	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2014"	"2014"	14	55880	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2015"	"2015"	21	55755	37.7	32.5
	"Calhoun County, AL"	"01015"	"2016"	"2016"	19	55138	Unreliable	Unreliable
	"Chambers County, AL"	"01017"	"2016"	"2016"	13	16243	Unreliable	Unreliable
	"Coffee County, AL"	"01031"	"2010"	"2010"	13	24684	Unreliable	Unreliable
	"Coffee County, AL"	"01031"	"2012"	"2012"	11	25371	Unreliable	Unreliable
	"Colbert County, AL"	"01033"	"1999"	"1999"	10	26192	Unreliable	Unreliable
	"Colbert County, AL"	"01033"	"2004"	"2004"	10	26168	Unreliable	Unreliable
	"Colbert County, AL"	"01033"	"2014"	"2014"	11	26290	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2005"	"2005"	12	38959	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2006"	"2006"	10	39193	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2008"	"2008"	10	39723	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2009"	"2009"	11	39767	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2011"	"2011"	14	39852	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2013"	"2013"	12	40097	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2014"	"2014"	17	40244	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2015"	"2015"	13	40498	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2016"	"2016"	15	40731	Unreliable	Unreliable
	"Dale County, AL"	"01045"	"2009"	"2009"	12	24664	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	"2012"	"2012"	13	35061	Unreliable	Unreliable
	"Elmore County, AL"	"01051"	"2006"	"2006"	10	37249	Unreliable	Unreliable
	"Elmore County, AL"	"01051"	"2009"	"2009"	11	38482	Unreliable	Unreliable
	"Elmore County, AL"	"01051"	"2014"	"2014"	15	39295	Unreliable	Unreliable
	"Elmore County, AL"	"01051"	"2016"	"2016"	11	39665	Unreliable	Unreliable
	"Escambia County, AL"	"01053"	"2016"	"2016"	10	19384	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"1999"	"1999"	14	49714	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2000"	"2000"	13	49506	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2001"	"2001"	17	49297	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2003"	"2003"	13	49503	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2004"	"2004"	10	49612	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2005"	"2005"	12	49665	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2008"	"2008"	17	50407	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2009"	"2009"	11	50499	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2011"	"2011"	18	50470	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2013"	"2013"	18	50359	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2014"	"2014"	12	50100	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2015"	"2015"	13	49751	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2016"	"2016"	12	49646	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"2004"	"2004"	10	44123	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"2005"	"2005"	14	44834	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"2008"	"2008"	17	47609	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"2012"	"2012"	10	49540	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"2013"	"2013"	13	49727	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"2015"	"2015"	12	49860	Unreliable	Unreliable
