"Year","Ten_Year_Age_Groups","Race","Deaths","Population"
1999,"15-24 years","American Indian or Alaska Native",77,196783
1999,"15-24 years","Asian or Pacific Islander",82,867284
1999,"15-24 years","Black or African American",408,2761490
1999,"15-24 years","Hispanic or Latino",338,3369310
1999,"15-24 years","White",2421,12582565
1999,"25-34 years","American Indian or Alaska Native",67,165914
1999,"25-34 years","Asian or Pacific Islander",114,987832
1999,"25-34 years","Black or African American",432,2475549
1999,"25-34 years","Hispanic or Latino",364,3387762
1999,"25-34 years","White",3217,13216259
1999,"35-44 years","American Indian or Alaska Native",37,174651
1999,"35-44 years","Asian or Pacific Islander",90,891756
1999,"35-44 years","Black or African American",354,2582569
1999,"35-44 years","Hispanic or Latino",307,2520498
1999,"35-44 years","White",4231,16212393
1999,"45-54 years","American Indian or Alaska Native",24,129358
1999,"45-54 years","Asian or Pacific Islander",69,655664
1999,"45-54 years","Black or African American",185,1815245
1999,"45-54 years","Hispanic or Latino",169,1438950
1999,"45-54 years","White",3407,13883338
1999,"5-14 years","American Indian or Alaska Native",2,228085
1999,"5-14 years","Asian or Pacific Islander",6,795625
1999,"5-14 years","Black or African American",22,3266786
1999,"5-14 years","Hispanic or Latino",21,3058257
1999,"5-14 years","White",143,13297285
1999,"55-64 years","American Indian or Alaska Native",6,72148
1999,"55-64 years","Asian or Pacific Islander",50,371666
1999,"55-64 years","Black or African American",96,1033331
1999,"55-64 years","Hispanic or Latino",94,768342
1999,"55-64 years","White",2009,9153776
1999,"65-74 years","American Indian or Alaska Native",9,36683
1999,"65-74 years","Asian or Pacific Islander",22,218026
1999,"65-74 years","Black or African American",78,665317
1999,"65-74 years","Hispanic or Latino",63,447579
1999,"65-74 years","White",1879,6918262
1999,"75-84 years","American Indian or Alaska Native",2,14420
1999,"75-84 years","Asian or Pacific Islander",20,104170
1999,"75-84 years","Black or African American",45,319804
1999,"75-84 years","Hispanic or Latino",54,183587
1999,"75-84 years","White",1747,4183527
1999,"85+ years","Asian or Pacific Islander",5,24479
1999,"85+ years","Black or African American",12,84140
1999,"85+ years","Hispanic or Latino",18,44480
1999,"85+ years","White",646,1034839
1999,"Not Stated","Asian or Pacific Islander",1,0
1999,"Not Stated","Black or African American",2,0
1999,"Not Stated","Hispanic or Latino",2,0
1999,"Not Stated","White",11,0
2000,"15-24 years","American Indian or Alaska Native",67,202803
2000,"15-24 years","Asian or Pacific Islander",82,893777
2000,"15-24 years","Black or African American",411,2790462
2000,"15-24 years","Hispanic or Latino",387,3563695
2000,"15-24 years","White",2477,12628081
2000,"25-34 years","American Indian or Alaska Native",56,168732
2000,"25-34 years","Asian or Pacific Islander",113,1038778
2000,"25-34 years","Black or African American",399,2461099
2000,"25-34 years","Hispanic or Latino",370,3494210
2000,"25-34 years","White",3000,12957710
2000,"35-44 years","American Indian or Alaska Native",52,179677
2000,"35-44 years","Asian or Pacific Islander",83,920672
2000,"35-44 years","Black or African American",352,2606831
2000,"35-44 years","Hispanic or Latino",320,2653010
2000,"35-44 years","White",4307,16087608
2000,"45-54 years","American Indian or Alaska Native",24,137173
2000,"45-54 years","Asian or Pacific Islander",71,690245
2000,"45-54 years","Black or African American",215,1896006
2000,"45-54 years","Hispanic or Latino",194,1523118
2000,"45-54 years","White",3645,14222875
2000,"5-14 years","American Indian or Alaska Native",5,230997
2000,"5-14 years","Asian or Pacific Islander",3,815650
2000,"5-14 years","Black or African American",35,3290079
2000,"5-14 years","Hispanic or Latino",22,3260131
2000,"5-14 years","White",179,13237678
2000,"55-64 years","American Indian or Alaska Native",15,76582
2000,"55-64 years","Asian or Pacific Islander",35,392529
2000,"55-64 years","Black or African American",80,1060995
2000,"55-64 years","Hispanic or Latino",89,784988
2000,"55-64 years","White",2046,9311676
2000,"65-74 years","American Indian or Alaska Native",8,39187
2000,"65-74 years","Asian or Pacific Islander",20,228097
2000,"65-74 years","Black or African American",76,667889
2000,"65-74 years","Hispanic or Latino",74,449194
2000,"65-74 years","White",1710,6894226
2000,"75-84 years","American Indian or Alaska Native",1,16179
2000,"75-84 years","Asian or Pacific Islander",26,110278
2000,"75-84 years","Black or African American",40,324113
2000,"75-84 years","Hispanic or Latino",53,193522
2000,"75-84 years","White",1764,4225401
2000,"85+ years","Asian or Pacific Islander",11,26483
2000,"85+ years","Black or African American",11,85165
2000,"85+ years","Hispanic or Latino",15,46986
2000,"85+ years","White",668,1061643
2000,"Not Stated","Asian or Pacific Islander",1,0
2000,"Not Stated","Hispanic or Latino",1,0
2000,"Not Stated","White",5,0
2001,"15-24 years","American Indian or Alaska Native",62,209185
2001,"15-24 years","Asian or Pacific Islander",84,936953
2001,"15-24 years","Black or African American",393,2889333
2001,"15-24 years","Hispanic or Latino",343,3705319
2001,"15-24 years","White",2527,12886933
2001,"25-34 years","American Indian or Alaska Native",61,164530
2001,"25-34 years","Asian or Pacific Islander",105,1092951
2001,"25-34 years","Black or African American",414,2417609
2001,"25-34 years","Hispanic or Latino",419,3630261
2001,"25-34 years","White",3200,12599128
2001,"35-44 years","American Indian or Alaska Native",64,178783
2001,"35-44 years","Asian or Pacific Islander",87,959157
2001,"35-44 years","Black or African American",332,2626810
2001,"35-44 years","Hispanic or Latino",350,2809147
2001,"35-44 years","White",4347,15835426
2001,"45-54 years","American Indian or Alaska Native",32,143650
2001,"45-54 years","Asian or Pacific Islander",49,741167
