"State","2013_Urbanization","Year","Deaths","Population"
"Alabama","Large Central Metro",1999,69,312162
"Alabama","Large Central Metro",2000,57,312089
"Alabama","Large Central Metro",2001,58,311442
"Alabama","Large Central Metro",2002,63,310623
"Alabama","Large Central Metro",2003,60,310915
"Alabama","Large Central Metro",2004,65,309997
"Alabama","Large Central Metro",2005,66,309487
"Alabama","Large Central Metro",2006,55,309988
"Alabama","Large Central Metro",2007,54,309756
"Alabama","Large Central Metro",2008,88,310548
"Alabama","Large Central Metro",2009,83,311766
"Alabama","Large Central Metro",2010,54,311813
"Alabama","Large Central Metro",2011,76,311688
"Alabama","Large Central Metro",2012,73,312146
"Alabama","Large Central Metro",2013,66,312151
"Alabama","Large Central Metro",2014,59,312043
"Alabama","Large Central Metro",2015,78,311844
"Alabama","Large Central Metro",2016,68,312112
"Alabama","Large Fringe Metro",1999,42,189845
"Alabama","Large Fringe Metro",2000,56,192828
"Alabama","Large Fringe Metro",2001,33,197102
"Alabama","Large Fringe Metro",2002,40,200410
"Alabama","Large Fringe Metro",2003,45,204610
"Alabama","Large Fringe Metro",2004,45,208849
"Alabama","Large Fringe Metro",2005,36,213348
"Alabama","Large Fringe Metro",2006,64,219037
"Alabama","Large Fringe Metro",2007,72,223711
"Alabama","Large Fringe Metro",2008,48,227965
"Alabama","Large Fringe Metro",2009,59,231224
"Alabama","Large Fringe Metro",2010,76,232400
"Alabama","Large Fringe Metro",2011,60,233977
"Alabama","Large Fringe Metro",2012,66,235468
"Alabama","Large Fringe Metro",2013,55,237269
"Alabama","Large Fringe Metro",2014,68,238219
"Alabama","Large Fringe Metro",2015,65,238949
"Alabama","Large Fringe Metro",2016,64,240094
"Alabama","Medium Metro",1999,105,547795
"Alabama","Medium Metro",2000,110,550325
"Alabama","Medium Metro",2001,102,554744
"Alabama","Medium Metro",2002,92,557569
"Alabama","Medium Metro",2003,92,560695
"Alabama","Medium Metro",2004,105,564410
"Alabama","Medium Metro",2005,104,570913
"Alabama","Medium Metro",2006,121,581921
"Alabama","Medium Metro",2007,101,589736
"Alabama","Medium Metro",2008,102,597131
"Alabama","Medium Metro",2009,123,604583
"Alabama","Medium Metro",2010,141,609605
"Alabama","Medium Metro",2011,131,615523
"Alabama","Medium Metro",2012,143,619430
"Alabama","Medium Metro",2013,136,620898
"Alabama","Medium Metro",2014,147,622768
"Alabama","Medium Metro",2015,154,624522
"Alabama","Medium Metro",2016,176,625666
"Alabama","Micropolitan (non-metro)",1999,50,247065
"Alabama","Micropolitan (non-metro)",2000,60,248044
"Alabama","Micropolitan (non-metro)",2001,45,248276
"Alabama","Micropolitan (non-metro)",2002,49,248641
"Alabama","Micropolitan (non-metro)",2003,44,249474
"Alabama","Micropolitan (non-metro)",2004,48,250559
"Alabama","Micropolitan (non-metro)",2005,51,251886
"Alabama","Micropolitan (non-metro)",2006,57,253644
"Alabama","Micropolitan (non-metro)",2007,63,255375
"Alabama","Micropolitan (non-metro)",2008,55,257425
"Alabama","Micropolitan (non-metro)",2009,64,258640
"Alabama","Micropolitan (non-metro)",2010,60,259321
"Alabama","Micropolitan (non-metro)",2011,66,259040
"Alabama","Micropolitan (non-metro)",2012,69,259998
"Alabama","Micropolitan (non-metro)",2013,74,259547
"Alabama","Micropolitan (non-metro)",2014,75,259007
"Alabama","Micropolitan (non-metro)",2015,82,258473
"Alabama","Micropolitan (non-metro)",2016,83,257677
"Alabama","NonCore (non-metro)",1999,68,314059
"Alabama","NonCore (non-metro)",2000,78,314879
"Alabama","NonCore (non-metro)",2001,63,313663
"Alabama","NonCore (non-metro)",2002,71,312641
"Alabama","NonCore (non-metro)",2003,67,312321
"Alabama","NonCore (non-metro)",2004,58,311669
"Alabama","NonCore (non-metro)",2005,64,311610
"Alabama","NonCore (non-metro)",2006,54,312758
"Alabama","NonCore (non-metro)",2007,57,313319
